@relation JKW_TWCL_2

@attribute TWEETCL2_ string
@attribute @@class@@ {POS,NEG}

@data
'gantung tangkap si di uang mobil mau asal warga pilih eh',NEG
'astagfirullah ah sengaja membiarkan pendukung dan media berbuat anarkis',NEG
'emang rusuh giliran menang bangga kalah teriak curang',NEG
'da ada laporan baru coba cek jaya data masuk suara duh',NEG
'isu ini bendera rusuh apabila kalah benar alah',NEG
'akun pendukung sangat menghina dan sara',NEG
'aku pelanggaran ham itu puluhan ratusan ribu besar otak di',NEG
'trik paling kehilangan kesabaran terima laporan kecurangan di',NEG
'rakyat patuh seruan ulama suara nol di bukan pelanggaran',NEG
'hebat rakyat patuh seruan ulama suara nol di',NEG
'kehilangan kesabaran terima laporan kecurangan di',NEG
'di prop jaya di suara',NEG
'haus ambisi menang sudah di iklan media massa modus penipuan publik',NEG
'ketua ansor tuduhan komunis hanya adu domba untuk hambat laju',NEG
'apakah karena sudah kalah akhirnya ia',NEG
'suara nol untuk di bukan pelanggaran',NEG
'kehilangan kesabaran terima laporan kecurangan di politik',NEG
'tim hukum terima laporan dugaan kecurangan',NEG
'saat ini ada tim bagaimana hasil akhir perhitungan harus bisa menyesuaikan hasil',NEG
'penggembosan suara di dari keliling ca',NEG
'indikasi penggembosan suara kami ada pola penggembosan',NEG
'dari koalisi kaum komunis anarki maka itulah nanti kalah atas',NEG
'hot bersiap kerusuhan pengumuman kekalahan',NEG
'apa apa biar presiden rakyat aja kalau salah burhan jadi menteri',NEG
'boneka majikan loh boneka ya boneka bowo ni',NEG
'apa apa biar presiden rakyat aja kalau salah burhan',NEG
'lawan bersiap kerusuhan pengumuman kekalahan',NEG
'bersiap kerusuhan pengumuman kekalahan',NEG
'mau dukung aku dukung antek asing itu akan dan rakyat puas',NEG
'tambah parah macet parah waktu jam perjalanan ke',NEG
'rencana bahaya kubu mengotak hasil',NEG
'mata kubu lebih anarkis',NEG
'korps media pendukung karena penghinaan atas agama islam',NEG
'jumlah miskin di solo dan itu fakta kalo ada bilang berhasil kemiskinan justru fitnah dan penipuan',NEG
'mayoritas orang muslim ulama mereka takut komunis haram pilih',NEG
'kaget ini itu siapa mau pilih pemimpin anti islam asal usul aja aku ra',NEG
'adil lembaga survei yang ke indonesia via',NEG
'laporan sebagai petugas partai kepada bahwa merasa',NEG
'akan jadi tangis kita semua karena kemenangan palsu di pasangan kita kita di',NEG
'pantau langsung perolehan suara di berdasarkan laporan tim sukses potensi kecurangan sangat',NEG
'mengenal anak kader komunis angkatan pertama',NEG
'antara lain tentang kerusuhan akan kubu jika kalah oleh',NEG
'nol lagi ya di ini suara nol',NEG
'terbukti menggunakan buku nikah palsu kenapa belum juga penjara',NEG
'suka koperasi lah jelas cukong aja pemilik bank biar rakyat utang ke bank bayar kan lahan ambil',NEG
'publik haus pemimpin kerakyatan terbius propaganda ala oleh kubu',NEG
'suka koperasi lah jelas cukong aja pemilik bank biar rakyat utang ke bank bayar kan lahan',NEG
'mbah biar hapal cukong',NEG
'aja cukong tapi saya liat kebanyakan iklan di metro itu milik agung grup kalo',NEG
'tau apalagi bisa dari tim kubu',NEG
'itu sama cuma beda pemilik agung sama cukong ambil lahan bank swasta',NEG
'itu sama cuma beda pemilik agung sama cukong ambil lahan',NEG
'aja cukong tapi saya liat kebanyakan iklan di metro itu milik agung',NEG
'kalo masih ribut terus soal kawal kemungkinan mereka akan rusuh di juli',NEG
'alasan berdiam diri anarkis kubu',NEG
'kalau kalah akan oleh semua yang selama ini susah payah mendongkrak',NEG
'menang ning luar negeri keok opini bisa rakyat gen',NEG
'sekilas tangkap pendana has',NEG
'sia harapan selamat kepala negara asing',NEG
'kepalsuan sang fenomenal',NEG
'benar sekali orang banyak dan terkecoh ternyata calon pasien',NEG
'kubu mau ini aman damai',NEG
'tegas berani sanggup dasar penipu rakyat',NEG
'padahal pak bersabar dulu bisa jadi pilih',NEG
'banteng panik juli ribuan relawan turun ke jalan',NEG
'ternyata tertangkap itu agen sekilas tangkap pendana',NEG
'dasar kubu munafik curang teriak curang minta pencoblosan ulang di keterlibatan birokrasi',NEG
'kalau kalah mending rusuh saja itu kalimat keluar dari tadi malam dengan nada',NEG
'sekilas tangkap pendana',NEG
'saya belum apa apa kubu sudah bikin rusuh di kalo metro kayak apa',NEG
'ironis ketika semua bukti telah terkuak bahwa adalah komunis dan sebagian rakyat indonesia masih menutup',NEG
'sekilas tangkap pendana bang',NEG
'mengenal anak kader komunis angkatan pertama lewat',NEG
'rakyat jangan di periksa mega kasus usut sampai tuntas tas tas',NEG
'tapi wajar ketika pendukung anarkis pada juli nanti kan memang mereka kalo sudah menang',NEG
'dari sejak beberapa taipan cukong mendanai seperti taipan daftar cukong',NEG
'hanya kecurangan bisa memenangkan',NEG
